Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,98.099998,99.209999,97.610001,98.699997,97.135254,293100
2019-01-03,98.849998,98.889999,96.620003,96.980003,95.442528,450400
2019-01-04,100.230003,102.779999,99.260002,102.230003,100.609299,524200
2019-01-07,103.320000,105.730003,102.949997,104.480003,102.823624,427500
2019-01-08,107.620003,109.250000,107.400002,108.580002,106.858627,762200
2019-01-09,112.160004,113.035004,111.139999,111.190002,109.427246,490600
2019-01-10,109.870003,111.290001,109.410004,110.790001,109.033585,298400
2019-01-11,111.739998,111.750000,110.410004,110.839996,109.082787,250600
2019-01-14,110.610001,111.389999,110.120003,110.879997,109.122154,225800
2019-01-15,112.550003,112.839996,111.400002,112.370003,110.588547,327100
2019-01-16,111.900002,113.919998,111.809998,113.129997,111.336487,329800
2019-01-17,113.559998,114.737000,112.964996,113.709999,111.907295,278900
2019-01-18,114.260002,114.480003,112.720001,113.290001,111.493950,372300
2019-01-22,112.230003,112.610001,110.589996,111.690002,109.919327,276200
2019-01-23,111.209999,111.629997,109.489998,110.199997,108.452934,340100
2019-01-24,110.949997,112.470001,110.779999,112.389999,110.608223,303100
2019-01-25,111.970001,112.190002,111.050003,111.239998,109.476448,339300
2019-01-28,110.110001,110.449997,108.839996,110.419998,108.669456,329000
2019-01-29,110.790001,111.040001,109.769997,110.550003,108.797394,437600
2019-01-30,110.809998,112.940002,110.410004,112.690002,110.903465,707300
2019-01-31,116.040001,127.070000,116.040001,126.300003,124.297699,2257500
2019-02-01,126.070000,127.550003,125.855003,127.129997,125.114540,1079100
2019-02-04,126.010002,127.220001,125.790001,127.220001,125.203117,415500
2019-02-05,127.970001,128.169998,127.019997,127.279999,125.262161,464400
2019-02-06,127.029999,127.650002,126.750000,126.959999,124.947227,191400
2019-02-07,123.370003,124.779999,123.031998,124.589996,122.614807,385500
2019-02-08,123.199997,124.320000,122.779999,124.279999,122.309715,396600
2019-02-11,123.260002,123.970001,123.230003,123.500000,121.542084,332800
2019-02-12,124.099998,126.684998,124.099998,126.440002,124.435486,745200
2019-02-13,125.809998,126.150002,124.959999,125.250000,123.264343,320300
2019-02-14,124.500000,125.510002,124.160004,125.059998,123.077347,313700
2019-02-15,125.680000,126.400002,125.301003,125.980003,123.982773,430000
2019-02-19,125.739998,126.910004,125.730003,126.370003,124.366585,155100
2019-02-20,126.320000,126.739998,125.570000,125.769997,123.776100,221400
2019-02-21,125.599998,126.730003,125.529999,126.300003,124.297699,188200
2019-02-22,126.250000,126.589996,125.650002,126.029999,124.031975,325600
2019-02-25,127.129997,128.270004,126.769997,128.039993,126.010101,441900
2019-02-26,128.070007,129.727997,128.029999,129.050003,127.004105,275300
2019-02-27,128.589996,129.110001,127.719002,128.669998,126.630119,271600
2019-02-28,128.130005,128.860001,128.029999,128.259995,126.226616,261600
2019-03-01,130.289993,131.919998,129.919998,131.800003,129.710510,452000
2019-03-04,131.800003,132.160004,130.029999,130.800003,128.726349,412000
2019-03-05,130.509995,131.850006,130.388000,131.759995,129.671127,239500
2019-03-06,130.440002,130.606995,129.272003,130.110001,128.047302,272900
2019-03-07,128.490005,129.059998,127.250000,128.320007,126.285675,463000
2019-03-08,127.010002,128.990005,126.820000,128.880005,126.836800,250800
2019-03-11,128.720001,130.880005,128.529999,130.759995,128.686981,328900
2019-03-12,130.229996,130.710007,129.820007,130.190002,128.126038,170300
2019-03-13,130.729996,130.880005,129.080002,130.050003,127.988258,440500
2019-03-14,130.660004,131.250000,129.860001,131.190002,129.110168,261200
2019-03-15,132.000000,132.199997,131.619995,131.779999,129.690826,252900
2019-03-18,131.660004,132.455002,131.449997,132.279999,130.182892,221100
2019-03-19,132.429993,132.699997,131.460007,131.610001,129.523514,213000
2019-03-20,132.889999,132.889999,131.000000,131.750000,129.661301,306500
2019-03-21,131.880005,132.617996,131.589996,132.389999,130.291138,167500
2019-03-22,131.050003,131.339996,128.500000,128.649994,126.610435,411900
2019-03-25,129.919998,131.289993,129.179993,131.119995,129.041275,232900
